Località,Telefono1,Telefono2,info
1° Bivio Fidenza Ovest,71061401,,
1° Bivio Parma Est,71061401,,
1° Bivio Piacenza Est,71061401,,
2° Bivio Piacenza Est,70911802,,
2° Bivio/PC Parma Est,70911202,,
2° Bivio/PP Fidenza Ovest,70911502,,
Bivio Casirate,70207902,,
Bivio Castelfranco Est,71061401,,
Bivio Emilia,71061601,,
Bivio Modena Ovest,71061401,,
Bivio Navile,70316302,,
Bivio Novara Ovest,70123802,,
Bivio Piacenza Ovest,71061401,,
Bivio Venezia,71061601,,
Bivio/Pc Fenilone,70052102,,
Bivio/PC Melegnano,70071802,,
Bologna C.le,70068302,9217638,
Bologna C.le AV,71061601,9215701,
Bologna S. Ruffillo,70067902,,
Brescia,70073402,,
Brescia EST,70318402,,
Castelfranco Emilia,70098502,,
DCO Bivio Casirate-Brescia EST (AV/AC),71012301,,
DCO Bivio Melegnano-PM Reno,71061401,9215700,
DCO Bivio Navile,71060401,9217686,
DCO Mestre-Padova,71030401,,
DCO Milano C.le-Rogoredo,71010801,,
DCO Padova-Verona,71010301,,
DCO Pioltello-Bivio Casirate,71012101,,
DCO Pioltello-Brescia (LL),71012101,,
DCO Pioltello-Milano C.le,71010801,,
DCO PM Reno-Firenze Castello,71061601,9215701,
DCO Quattro Ville Sud-Modena,71060401,9217686,
DCO Rho-Milano C.le,71012201,,
DCO Sommacampagna-Brescia,71010301,,
DCO Torino P.N.-Settimo,71002001,,
DCO Torino Stura-Milano (AV/AC),71012301,,
DCO Venezia S.L.-Mestre,71031301,,
DCO Verona Raccordi-Sommacampagna,71020501,,
Desenzano del Garda,,,
Fidenza,70131702,,
Firenze Castello,70131402,,
Lonato,70158602,,
Melzo Scalo,70169002,,
Milano C.le,70172802,,
Milano Certosa,70170902,,
Milano Lambrate,70171202,,
Milano Rogoredo,70172002,,
Modena,70174702,,
Padova C.le,70200002,,
Parma,70203502,,
PC Fontanellato,71061401,,
PC Marcallo,70267402,,
PC Piacenza,71061401,,
PC Rubiera,71061401,,
Peschiera del Garda,,,
Piacenza,70211102,,
Pioltello,70214702,,
PM Alice,70123602,,
PM Anzola,71061401,,
PM Campegine,71061401,,
PM Cigliano,70123502,,
PM Idice,71061601,,
PM Lavino,70154402,,
PM Livraga,71061401,,
PM Piacenza Ovest,70911902,,
PM Recetto,70123902,,
PM Reno,71061601,,
PM S. Piero a Sieve,71061601,,
PM/Pde S. Pellegrino,71061601,,
Q.vio Zappata,70230402,,
Q.vio/PC Turro,70054802,,
Quattro Ville Sud,70910402,,
Reggio Emilia AV Mediopadana,71061401,,
Rezzato,70234402,,
Rho,70234502,,
Sommacampagna,70275802,,
T.B./PC Seveso,70289902,,
Tavazzano,70282002,,
Torino P.N.,70287602,,
Torino P.S.,70352502,,
Torino Rebaudengo Fossata,70172602,,
Torino Stura,70286402,,
Venezia Mestre,70300202,,
Venezia S.L.,70300902,,
Verona P.N.,70302502,,
Verona P.V.,70302702,,
Vicenza,70304302,,
Firenze Rifredi,71071102,,
Firenze SMN,70132502,,
Firenze Statuto,71071301,,
Firenze C.d.M.,71071301,,
PM Rovezzano,71071301,,
1° bivio Valdarno Nord,70035502,,
1° bivio Valdarno Sud,70035402,,
2° Bivio Valdarno Sud,70036302,,
1° Bivio Arezzo Nord,70034602,,
2° Bivio Arezzo Nord,70035802,,
1° Bivio Arezzo Sud,70034702,,
2° Bivio Arezzo Sud,70035902,,
1° Bivio Chiusi Nord,70034802,,
2° Bivio Chiusi Sud,70034902,,
1° Bivio Orvieto Nord,70035202,,
2° Bivio Orvieto Nord,70036102,,
1° Bivio Orvieto Sud,70035302,,
2° Bivio Orvieto Sud,70036202,,
Compiobbi,70115902,,
Pontassieve,70220502,,
Rignano sull’Arno,70235402,,
Incisa,70148802,,
Figline,70131902,,
S. Giovanni Varchi,70251702,,
Montevarchi,70182802,,
Laterina,70153702,,
Ponticino,70223402,,
Arezzo,70045802,,
PM Olmo,70217702,,
PM Rigutino,70235702,,
Castiglion Fiorentino,70102102,,
Camucia C.,70084402,,
Terentola,70283702,,
Castiglion del Lago,,,Località non dotata di telefono GSMR. Il DM che presenzierà l’impianto dovrà annunciarsi al DCO di Firenze C.M. e comunicargli il numero di cellulare di servizio in dotazione. 
PM Panicale,70202902,,
Chiusi C.T.,70110402,,
PM Montallese,70178002,,
PM Città della Pieve,70111602,,
Fabro F.,70128402,,
Allerona C.V.,70041502,,
Orvieto,70196102,,
DCO PM Rovezzano-Firenze SMN/Rifredi,71071301,,
DCO Terentola-Orte (LL) ,71070501,,
DCO PM Montallese-Chiusi,71070501,,
DCO PM Rovezzano-Settebagni (DD),71061701,,
DCO Terentola-Foligno,71090701,,
DCO Viterbo P.F.-Orte,71100801,,
